monthly_income,monthly_expenses,existing_debt_payment,credit_score,age,debt_to_income_ratio,max_affordable_loan
59662.57,45445.19,1296.13,684.0,39,0.783,249908.39
33557.23,22409.58,494.59,787.0,51,0.683,230605.86
80563.62,40363.01,3058.67,693.0,18,0.539,649446.11
29478.91,24992.43,3242.31,753.0,40,0.958,20889.91
65221.59,20678.16,2014.05,850.0,49,0.348,783201.24
15000.0,5091.99,792.4,850.0,21,0.392,166508.81
26795.35,14400.69,1812.32,665.0,58,0.605,174599.32
64921.53,57657.18,1920.18,703.0,60,0.918,86951.5
78461.66,40772.54,4781.2,596.0,23,0.581,556668.22
64284.21,33589.35,1306.76,744.0,33,0.543,597928.31
57108.79,19057.97,4655.73,711.0,27,0.415,538819.16
52472.41,36305.1,1467.86,618.0,52,0.72,238410.12
23036.95,15964.06,874.16,775.0,41,0.731,131959.14
42003.89,28073.78,2867.61,659.0,27,0.737,167261.94
48484.03,22090.14,7839.47,638.0,29,0.617,327226.4
86428.06,38373.54,4053.88,712.0,50,0.491,863843.77
68590.46,24420.37,413.63,643.0,44,0.362,935638.92
15924.0,8958.54,792.52,677.0,42,0.612,85435.58
68102.1,26419.45,6243.07,820.0,27,0.48,611125.24
50372.94,18808.63,2304.79,631.0,42,0.419,528389.1
43076.95,20954.63,713.86,734.0,49,0.503,387660.64
75291.91,35886.12,4737.92,633.0,59,0.54,442338.24
85774.99,40254.48,2986.65,602.0,43,0.504,698754.59
83282.0,51632.07,9359.71,673.0,21,0.732,366223.94
39019.56,21923.42,415.02,850.0,26,0.572,281851.11
52269.69,26489.06,7543.57,743.0,44,0.651,331829.45
68281.59,39429.33,8313.0,717.0,26,0.699,331421.19
84388.63,33862.7,976.82,638.0,61,0.413,798108.76
48020.64,27169.69,1128.05,649.0,43,0.589,396024.36
55358.53,31697.76,2990.68,561.0,28,0.627,409379.16
32341.63,10496.25,4756.38,824.0,55,0.472,309529.46
30094.83,21046.94,778.05,702.0,49,0.725,154025.55
80313.15,33553.62,2866.0,695.0,47,0.453,854551.61
93906.0,52920.4,10367.88,696.0,56,0.674,514250.41
58199.75,42175.13,3731.01,847.0,26,0.789,224228.04
85088.32,58613.22,5320.09,704.0,28,0.751,414961.86
69040.9,38328.06,1599.0,665.0,40,0.578,510899.74
43872.01,21744.07,4488.33,824.0,34,0.598,343688.79
69034.89,47780.9,9508.03,670.0,49,0.83,186911.19
98450.91,64111.65,10761.1,545.0,28,0.761,349009.24
59104.35,27025.18,3736.99,558.0,39,0.52,474866.42
99116.09,42695.84,7026.02,665.0,67,0.502,848448.01
15000.0,3587.2,498.32,703.0,49,0.272,203048.6
80547.56,46162.19,7470.68,746.0,26,0.666,558145.67
62176.18,33425.62,5920.71,607.0,34,0.633,399596.54
52524.82,37840.39,4382.17,662.0,42,0.804,172685.72
62294.02,37616.76,2546.72,615.0,33,0.645,418830.7
15000.0,11252.02,766.09,769.0,63,0.801,57181.76
54508.2,24277.7,2069.53,783.0,50,0.483,618134.91
68927.81,49677.83,4826.46,837.0,19,0.791,268872.57
96947.35,45629.49,4776.42,708.0,60,0.52,850753.65
47043.24,31360.88,1955.17,829.0,56,0.708,264890.84
39787.66,13177.13,9076.46,625.0,59,0.559,309505.3
47456.07,27774.63,2647.34,697.0,29,0.641,319977.6
82885.05,20911.63,6431.55,595.0,60,0.33,949439.41
68218.78,34786.76,8894.1,726.0,51,0.64,496124.75
46755.99,28804.18,2321.07,703.0,42,0.666,299800.7
72831.69,34365.97,4201.68,484.0,31,0.53,671185.12
62426.94,24498.48,12189.91,769.0,26,0.588,624084.19
84216.12,57007.39,5857.21,748.0,47,0.746,376880.69
42448.67,22687.99,1917.93,636.0,29,0.58,297510.71
51808.45,24690.06,8099.21,702.0,27,0.633,305357.59
50197.3,27923.97,4803.66,561.0,41,0.652,338463.78
23412.13,21070.91,1845.87,618.0,51,0.979,8235.82
67403.01,48734.09,376.72,814.0,29,0.729,371057.44
66526.38,48190.78,3279.7,588.0,43,0.774,225242.16
60127.84,36998.58,2080.6,681.0,49,0.65,386835.06
54135.32,31126.34,8192.85,568.0,52,0.726,204667.65
24615.73,4923.15,1350.05,707.0,30,0.255,379434.36
49483.87,22176.34,3555.29,725.0,36,0.52,525608.64
51432.14,24580.13,3838.56,738.0,30,0.553,464309.65
39943.07,10735.35,4174.39,717.0,39,0.373,421599.81
55967.86,21065.61,5264.44,794.0,65,0.47,611466.07
70101.27,17726.83,7391.13,636.0,40,0.358,807542.9
107154.65,58319.07,14168.16,595.0,18,0.676,675594.69
64364.45,43305.36,446.01,633.0,25,0.68,392867.42
66438.76,47571.23,2769.49,572.0,62,0.758,241796.13
58138.85,35593.63,6112.94,686.0,56,0.717,334297.38
15000.0,6082.36,211.65,669.0,51,0.42,155540.14
59337.15,15438.95,7599.09,718.0,30,0.388,764702.78
61505.76,17619.53,6425.88,551.0,61,0.391,523331.47
121581.05,43726.94,1568.61,679.0,66,0.373,1456312.09
55190.98,22996.48,2285.04,777.0,58,0.458,561394.7
67538.68,35527.9,3028.22,726.0,27,0.571,547431.82
59132.21,23527.25,4348.09,528.0,20,0.471,474583.46
30783.05,18495.88,1564.83,679.0,45,0.652,204211.09
88570.57,45627.92,2558.9,621.0,44,0.544,637969.33
78798.33,43463.73,11436.46,681.0,38,0.697,366082.85
79775.8,57521.35,3125.79,650.0,28,0.76,314503.61
37265.31,13898.67,2228.94,819.0,41,0.433,388638.94
95069.86,58259.35,8301.97,687.0,29,0.7,503416.24
24953.72,13672.25,1041.91,705.0,24,0.59,202483.19
74671.43,37334.0,6434.8,676.0,59,0.586,507273.03
114761.39,78357.75,5086.15,718.0,49,0.727,628983.04
35236.59,24026.14,5816.91,663.0,27,0.847,102345.4
45842.56,18704.97,1610.63,742.0,45,0.443,531303.87
62491.28,32662.69,2545.46,649.0,43,0.563,466818.53
47413.11,28077.18,5176.52,790.0,46,0.701,319131.77
21233.41,10808.85,2787.48,720.0,44,0.64,138081.43
61714.07,39358.35,3803.23,668.0,69,0.699,363871.46
33442.41,19803.88,5828.89,747.0,27,0.766,172981.32
71839.81,59259.52,6958.2,719.0,21,0.922,117377.4
37014.39,11861.56,902.32,746.0,59,0.345,454473.34
98748.36,52498.05,3587.69,687.0,39,0.568,691553.12
40418.67,16722.2,7417.41,661.0,27,0.597,263670.85
51948.46,33279.02,1782.31,691.0,21,0.675,278161.0
80337.93,24697.83,10062.78,640.0,24,0.433,749477.71
29228.39,17593.94,3760.13,758.0,67,0.731,149950.18
65686.5,29919.72,1297.83,798.0,40,0.475,718685.08
92678.57,40767.05,10039.3,726.0,20,0.548,844776.02
19812.92,6598.2,1348.7,793.0,41,0.401,254145.91
64615.85,31031.02,4446.47,770.0,64,0.549,611593.73
66497.07,47390.8,5592.26,659.0,54,0.797,238725.44
79545.57,43449.52,12445.29,747.0,47,0.703,477816.89
29076.23,18729.51,2190.17,577.0,58,0.719,134103.98
26988.58,21582.67,606.4,695.0,69,0.822,90653.3
73048.54,43066.74,2605.0,585.0,29,0.625,454500.94
67424.62,31432.01,11193.41,671.0,38,0.632,446383.17
66262.32,41088.46,8669.58,565.0,65,0.751,266686.05
68661.21,32157.86,763.46,768.0,60,0.479,564723.22
42999.38,20396.18,1080.02,648.0,34,0.499,371964.11
65806.34,21190.7,10682.36,753.0,20,0.484,684940.09
67326.81,46384.04,998.44,674.0,32,0.704,394702.52
42141.21,20737.68,891.71,532.0,53,0.513,351571.92
106644.36,61567.36,6127.65,641.0,49,0.635,622513.64
71845.82,28350.77,2105.8,638.0,26,0.424,692991.1
30217.41,18595.56,1483.91,679.0,57,0.664,154340.13
76413.84,33294.18,6628.61,801.0,67,0.522,764838.63
35632.96,18840.7,4927.4,814.0,39,0.667,213858.84
79677.12,54313.81,3349.14,662.0,53,0.724,409212.69
88964.89,59483.16,15778.41,579.0,49,0.846,242146.69
39482.94,21585.15,5118.89,620.0,22,0.676,202809.05
84084.4,23945.59,2016.05,718.0,58,0.309,1111519.25
70319.52,63287.57,9530.68,671.0,65,1.036,0.0
80551.5,65398.06,2190.38,554.0,21,0.839,207680.84
107419.82,70725.34,1488.01,640.0,65,0.672,688950.97
53865.3,23540.18,1327.32,785.0,22,0.462,578577.58
41156.6,21934.87,1855.72,703.0,24,0.578,329931.09
37762.14,17691.07,204.55,684.0,28,0.474,358156.01
39604.74,29290.81,951.13,649.0,56,0.764,181861.94
58072.46,34226.48,419.02,643.0,23,0.597,408069.31
68528.8,29630.17,12338.93,724.0,46,0.612,525972.23
66917.27,32079.25,2944.51,691.0,68,0.523,637768.79
80679.58,57942.32,6691.37,742.0,34,0.801,334140.54
60325.05,47657.67,2154.33,724.0,45,0.826,207512.82
96338.35,75071.64,5526.55,682.0,55,0.837,307677.94
53383.58,35422.93,706.34,711.0,36,0.677,320584.32
128004.23,65551.77,3582.49,633.0,66,0.54,990255.62
75641.68,15128.34,5247.03,676.0,61,0.269,1033383.25
38571.06,22933.35,458.42,787.0,29,0.606,305470.88
33227.69,18266.11,1080.63,681.0,62,0.582,260492.15
72061.81,41147.1,4640.95,663.0,55,0.635,523759.3
54413.43,30367.3,784.27,697.0,36,0.572,428422.29
77850.01,27330.08,10172.31,587.0,50,0.482,593273.15
71830.94,45512.89,3480.62,698.0,62,0.682,334054.44
58179.28,37515.89,5085.39,816.0,22,0.732,314442.42
38830.16,25330.88,1833.31,615.0,18,0.7,223263.67
22128.82,15312.85,1539.93,701.0,52,0.762,95097.77
48837.13,31285.44,1658.72,678.0,52,0.675,342177.65
81409.97,39768.41,1737.3,676.0,64,0.51,734150.76
65352.34,35249.39,1087.3,675.0,64,0.556,650852.6
28856.53,16265.52,2384.16,737.0,48,0.646,190738.66
64329.52,36420.48,3032.12,592.0,53,0.613,491876.98
69632.93,48724.44,2368.44,735.0,57,0.734,334744.69
37903.56,24506.56,409.18,686.0,52,0.657,261972.42
63843.13,55007.34,3182.98,539.0,57,0.911,98374.28
61455.22,54140.22,2773.82,710.0,29,0.926,87124.53
31425.74,17659.62,2383.48,689.0,35,0.638,215216.09
68944.68,13788.94,5219.4,610.0,45,0.276,986981.28
74019.61,54443.27,8795.05,693.0,30,0.854,194228.89
87076.28,40833.86,608.21,575.0,47,0.476,779039.1
86345.05,37109.15,6049.77,625.0,57,0.5,962241.44
25558.27,12529.51,1068.46,683.0,34,0.532,229705.96
36554.37,17655.89,1445.38,545.0,26,0.523,323926.6
72875.88,46774.69,2305.39,588.0,56,0.673,395793.55
72844.65,23025.07,1006.76,600.0,39,0.33,794590.15
72876.19,28300.88,1990.92,686.0,32,0.416,837391.65
156318.29,94021.35,8582.83,715.0,46,0.656,1021887.27
74272.26,47789.86,6148.59,609.0,33,0.726,344862.33
88389.14,57119.82,7673.12,604.0,37,0.733,338451.07
83850.04,36218.57,1527.45,691.0,42,0.45,693692.2
76284.78,30762.61,4115.55,689.0,57,0.457,610553.04
52118.27,24704.31,3419.04,624.0,41,0.54,433975.27
78974.23,46277.39,4252.04,826.0,33,0.64,507232.63
40679.37,31437.9,163.37,695.0,68,0.777,137655.32
54079.53,13135.08,3216.5,666.0,33,0.302,619549.83
47865.91,24741.44,1860.81,649.0,42,0.556,305965.2
62046.85,21722.49,2549.97,761.0,63,0.391,679036.11
117866.46,35614.95,13323.01,724.0,65,0.415,1203229.24
15000.0,10425.65,1621.62,541.0,18,0.803,51018.78
77156.5,48739.28,3082.91,624.0,67,0.672,449707.94
19682.1,12152.03,932.52,644.0,67,0.665,111221.0
48201.7,33170.19,865.45,679.0,50,0.706,273882.05
87223.76,41696.64,1311.45,730.0,66,0.493,726714.79
61607.0,29885.83,7167.66,594.0,69,0.601,399820.5
33056.38,29018.86,4666.52,674.0,24,1.019,0.0
42117.41,21606.83,3965.51,816.0,55,0.607,325939.09
76989.94,50834.14,13156.95,682.0,62,0.831,187375.74
41740.83,22997.41,2619.37,624.0,45,0.614,345945.16
65411.46,17841.71,3924.19,573.0,56,0.333,760940.24
61139.3,14875.54,4984.98,641.0,45,0.325,757628.18
43709.99,20244.39,2918.6,594.0,49,0.53,279754.64
113598.6,80474.98,6389.07,648.0,41,0.765,485310.97
75847.98,50684.94,4362.07,723.0,25,0.726,379873.72
15000.0,10306.67,957.17,683.0,61,0.751,75535.19
64661.36,25990.18,6003.49,642.0,49,0.495,560795.89
43455.34,34433.18,929.95,537.0,45,0.814,127949.35
81310.83,32952.52,8170.36,747.0,65,0.506,757893.13
40186.98,23385.76,3545.18,652.0,20,0.67,268672.69
57131.59,31333.66,498.01,689.0,24,0.557,389160.06
72624.68,38049.45,4924.02,607.0,23,0.592,422508.76
81643.88,61297.31,7472.12,647.0,46,0.842,177159.76
29992.59,13323.71,882.39,634.0,62,0.474,307517.4
51637.47,17947.08,4708.41,573.0,31,0.439,535069.92
48126.37,26613.85,5880.12,607.0,62,0.675,237195.79
43666.77,21397.85,2874.65,679.0,57,0.556,301646.02
104136.36,93722.72,9866.17,704.0,36,0.995,11063.7
70124.54,45684.47,1205.79,625.0,63,0.669,347361.18
28477.9,13914.27,3089.95,584.0,42,0.597,189106.26
82946.55,32480.48,5140.51,651.0,54,0.454,762363.71
113053.9,30293.56,14459.83,742.0,35,0.396,1679300.66
85811.63,34000.04,8405.15,605.0,21,0.494,735428.12
22015.75,12488.24,1133.58,681.0,18,0.619,171861.83
47894.15,36595.88,2960.59,627.0,50,0.826,152629.56
91672.78,65844.28,4130.11,770.0,45,0.763,398048.41
42308.26,24723.44,2939.21,639.0,58,0.654,243540.43
71095.49,35656.15,9926.55,733.0,36,0.641,483322.15
79365.85,46851.4,4274.78,761.0,50,0.644,545362.55
36826.74,17389.74,5018.16,803.0,32,0.608,269150.34
58511.87,47263.23,8408.14,572.0,62,0.951,50444.37
15000.0,7824.32,359.0,568.0,40,0.546,114785.05
34390.31,18469.29,1714.14,773.0,46,0.587,254912.86
53685.8,11683.46,1940.58,760.0,56,0.254,738758.54
28805.42,14998.54,3173.06,631.0,31,0.631,196037.33
100810.28,68094.59,5715.99,421.0,47,0.732,361470.69
24246.47,9452.28,1562.0,686.0,19,0.454,215636.83
48998.89,21431.72,5707.11,559.0,30,0.554,317593.64
63268.51,42320.73,10441.63,614.0,57,0.834,175553.9
96031.83,31546.59,15991.22,694.0,45,0.495,866556.69
24103.45,17081.39,1129.26,705.0,48,0.756,96680.06
89079.09,41883.07,12878.27,807.0,29,0.615,675989.75
60255.83,29628.68,5267.46,650.0,30,0.579,451297.68
35462.28,13525.96,3429.85,602.0,20,0.478,347686.41
71552.59,43411.45,12003.79,753.0,46,0.774,334955.69
64976.49,58478.84,1259.83,710.0,68,0.919,77593.23
44994.58,30021.49,2558.23,651.0,47,0.724,227247.36
61745.05,25954.98,8781.41,683.0,29,0.563,394266.22
50367.16,36281.64,2560.56,650.0,38,0.771,216540.67
62837.93,31575.94,5206.8,735.0,19,0.585,517449.52
76553.27,57887.49,3275.55,815.0,69,0.799,274189.75
99650.42,66865.58,4790.02,622.0,67,0.719,504564.71
29054.61,5810.92,2608.7,714.0,33,0.29,343398.95
113325.83,45260.98,12412.29,558.0,49,0.509,914131.24
15000.0,10374.87,618.1,594.0,45,0.733,69047.99
56205.37,32191.55,6158.37,725.0,26,0.682,325065.01
74707.93,29616.96,4218.3,674.0,34,0.453,793761.99
67024.8,30493.71,6810.44,591.0,67,0.557,467266.93
44432.51,11733.05,2725.07,681.0,36,0.325,571514.57
54796.94,29411.93,4515.61,750.0,24,0.619,347914.48
47674.98,42030.42,2859.66,564.0,53,0.942,36764.2
45265.88,30361.64,617.95,820.0,57,0.684,235095.16
81240.05,71374.47,3906.54,726.0,18,0.927,100450.28
68925.39,47031.9,4261.3,727.0,59,0.744,351873.81
42677.26,30049.99,2487.37,680.0,53,0.762,194072.19
82490.0,69795.76,15665.2,820.0,66,1.036,0.0
67682.49,41055.49,7243.96,757.0,56,0.714,292629.22
80321.55,41921.1,6888.1,651.0,18,0.608,662669.17
75740.72,53389.53,4571.19,741.0,65,0.765,284678.29
39275.12,30166.28,386.9,621.0,41,0.778,157444.94
45995.47,21986.08,2522.61,658.0,27,0.533,368344.95
78682.34,34759.08,8227.68,797.0,28,0.546,727278.76
75259.26,42960.12,2868.69,711.0,55,0.609,617322.0
59477.46,40130.92,2232.87,733.0,39,0.712,327712.62
62933.18,42147.21,1474.09,774.0,48,0.693,399088.95
91941.62,30926.85,2420.85,724.0,18,0.363,1423353.55
45210.72,37829.66,10358.6,615.0,58,1.066,0.0
73677.43,33436.68,7713.81,813.0,28,0.559,538485.15
54945.18,28035.24,4738.69,721.0,23,0.596,299806.07
54557.97,22619.84,4571.83,727.0,68,0.498,539709.38
87469.42,78722.48,14573.11,684.0,62,1.067,0.0
80635.41,47277.39,10390.66,769.0,34,0.715,477091.28
80337.74,33930.95,540.72,833.0,31,0.429,684488.3
92636.97,62955.02,2748.41,650.0,49,0.709,534711.89
60525.1,40271.61,5401.49,765.0,37,0.755,282161.39
77048.82,40207.23,5795.78,683.0,21,0.597,682422.79
52243.33,35321.25,3465.02,520.0,56,0.742,217768.45
68104.16,29026.42,1472.36,568.0,64,0.448,664433.36
56746.42,27014.83,3028.72,714.0,39,0.529,476987.59
62424.9,15510.56,6118.12,761.0,46,0.346,745279.82
74878.93,26313.0,3449.65,729.0,59,0.397,870517.07
39544.48,32471.74,708.88,742.0,54,0.839,116578.73
112309.68,89422.57,12494.59,850.0,30,0.907,197829.41
34849.57,19511.17,590.24,722.0,32,0.577,285477.28
29645.28,23699.62,3281.46,659.0,52,0.91,44914.03
88952.77,46788.16,4711.09,670.0,42,0.579,702225.01
79791.57,40972.05,4394.75,811.0,68,0.569,573133.1
75603.0,42222.5,7091.44,578.0,20,0.652,444772.59
75708.64,40221.1,3076.48,779.0,68,0.572,615636.44
59693.83,30904.72,8837.69,681.0,29,0.666,281094.31
37568.64,27106.14,985.39,613.0,31,0.748,144097.69
61895.11,35436.21,6317.2,564.0,57,0.675,250553.08
43070.96,28292.12,1657.56,798.0,49,0.695,259807.04
84377.99,59461.77,6536.06,611.0,67,0.782,292748.6
56323.57,34257.56,3616.97,685.0,21,0.672,325100.37
39362.57,15920.56,3528.91,602.0,46,0.494,387918.56
51965.35,18035.62,1084.1,837.0,48,0.368,659389.74
70323.29,40247.22,8979.33,688.0,49,0.7,396135.37
45906.89,24069.51,4619.7,572.0,41,0.625,275712.73
39444.49,22211.54,3084.73,646.0,28,0.641,232390.28
66092.18,36191.54,2577.41,791.0,47,0.587,456617.9
66124.16,59511.75,2792.35,602.0,66,0.942,70405.17
47326.42,16586.3,5865.65,651.0,36,0.474,510953.1
48224.04,12128.74,1042.47,775.0,53,0.273,756231.8
65801.25,39471.31,3131.51,707.0,23,0.647,377870.98
23797.89,11745.13,3707.94,582.0,19,0.649,159230.77
24813.41,14823.78,1238.3,698.0,56,0.647,158140.38
42038.89,26803.26,3808.28,668.0,36,0.728,235937.34
54663.82,40594.21,2476.92,684.0,63,0.788,219115.81
67772.69,21952.67,10719.34,756.0,65,0.482,690622.48
96883.91,45195.6,16010.28,699.0,57,0.632,678253.5
81441.49,50030.66,9376.23,673.0,35,0.729,330486.49
56001.54,37272.92,3990.12,669.0,58,0.737,231890.69
59524.59,52323.16,4401.54,766.0,53,0.953,50404.13
34936.77,24223.6,3581.4,622.0,63,0.796,119855.97
59537.17,32238.29,6816.07,507.0,69,0.656,332006.88
52783.53,21980.89,3539.48,662.0,67,0.483,466145.5
68067.96,31675.87,7266.69,710.0,37,0.572,512096.26
39319.23,18129.88,3038.56,647.0,54,0.538,361910.31
72983.66,47314.22,1256.35,638.0,18,0.665,488648.59
98318.47,57865.3,3937.98,651.0,40,0.629,688964.32
57281.0,20131.55,5168.4,678.0,55,0.442,537628.56
70042.79,33943.77,5480.35,576.0,37,0.563,538327.68
77253.6,52658.54,6748.9,733.0,21,0.769,378408.86
49969.49,30119.08,8206.35,467.0,68,0.767,176459.2
65602.31,41676.93,710.59,723.0,66,0.646,491816.68
60314.81,36637.52,5328.76,705.0,55,0.696,404174.92
62441.9,49576.66,8319.66,720.0,22,0.927,92976.88
40674.76,23811.26,3527.54,526.0,23,0.672,230235.31
60612.75,29827.33,2300.55,703.0,43,0.53,543351.79
72449.96,29895.51,2080.18,637.0,18,0.441,758199.08
96278.59,56558.03,2103.67,808.0,67,0.609,772843.29
83981.77,16796.35,3485.84,709.0,32,0.242,1034367.43
113829.56,59459.63,9340.81,586.0,33,0.604,867024.64
40816.31,21188.73,2440.47,545.0,40,0.579,285841.2
81808.02,28250.71,15936.47,631.0,58,0.54,820953.97
64583.55,26528.35,1275.17,745.0,39,0.431,889523.88
114745.07,77045.42,6081.57,772.0,22,0.724,594258.3
39792.54,23262.99,1060.99,695.0,60,0.611,289280.91
39006.95,22049.39,458.34,686.0,22,0.577,287786.97
45015.18,26826.89,9339.02,653.0,23,0.803,142681.39
15000.0,8458.41,1961.24,678.0,19,0.695,82552.07
46856.12,34506.23,3366.03,777.0,27,0.808,174324.02
41021.68,23321.42,4546.6,652.0,53,0.679,203701.95
63759.84,21121.6,2063.38,733.0,63,0.364,677284.52
68543.9,54459.46,2015.36,638.0,52,0.824,149514.08
106904.27,64735.99,370.44,761.0,62,0.609,706595.59
83760.6,38664.89,8751.99,726.0,40,0.566,737696.96
45577.41,16498.55,6356.23,758.0,64,0.501,496686.47
37539.63,22876.17,1915.06,831.0,33,0.66,204652.03
72297.98,38493.19,1099.78,473.0,54,0.548,442259.32
26994.17,21220.71,2642.67,740.0,59,0.884,66388.11
105786.47,52693.71,8573.8,718.0,52,0.579,757712.1
89486.0,37977.22,8518.4,716.0,65,0.52,762217.38
48270.61,33034.93,1769.64,699.0,57,0.721,230542.36
17171.64,11827.69,901.6,699.0,33,0.741,89154.3
93846.81,53989.85,11452.8,707.0,22,0.697,612701.87
57136.5,37221.78,1253.66,752.0,28,0.673,357866.99
90945.41,49505.85,8268.96,746.0,68,0.635,601267.09
20139.31,11783.1,1312.51,678.0,46,0.65,124834.55
45015.62,32625.01,3373.17,665.0,65,0.8,176439.32
60131.09,38712.26,6902.03,682.0,63,0.759,277592.07
61174.51,32092.69,10709.62,647.0,28,0.7,317812.33
48748.36,36700.42,2843.48,822.0,63,0.811,182319.27
75571.25,15114.25,1021.77,578.0,33,0.214,932437.94
33309.49,28573.25,118.61,740.0,42,0.861,81367.95
56440.51,16599.5,7001.62,740.0,67,0.418,533245.22
63007.39,28727.34,2808.37,638.0,20,0.501,618337.42
72860.97,39626.34,3950.8,704.0,20,0.598,417701.81
77790.37,41075.49,489.78,781.0,18,0.534,721889.38
31883.95,22349.42,886.43,654.0,29,0.729,153735.81
21647.15,8471.06,786.16,785.0,24,0.428,238537.57
91941.92,54164.37,10924.71,769.0,60,0.708,485146.8
68307.85,31644.85,3594.56,623.0,62,0.516,560145.11
41287.84,24536.17,6778.09,591.0,63,0.758,200109.46
98778.8,53368.62,2490.87,693.0,49,0.566,791620.56
62891.87,35467.26,1044.15,581.0,39,0.581,453875.81
89482.43,41834.04,4621.29,448.0,29,0.519,670979.03
61687.96,29208.66,3389.35,641.0,23,0.528,477909.7
111518.7,66140.72,3284.44,850.0,55,0.623,803298.23
103883.52,71841.41,8021.68,644.0,56,0.769,447818.97
53775.9,24750.79,2863.42,710.0,55,0.514,443802.61
84289.27,35374.93,3765.8,736.0,58,0.464,842149.06
76134.4,48879.73,9219.97,677.0,38,0.763,364502.32
94215.79,51359.33,10637.64,653.0,45,0.658,535680.27
35876.91,24201.66,3560.47,778.0,49,0.774,155326.57
77151.29,31950.69,14240.37,683.0,44,0.599,547457.47
86460.61,24475.63,3558.26,673.0,66,0.324,1108116.15
16031.51,7535.6,1483.92,744.0,66,0.563,134670.01
30418.54,13233.5,4328.53,598.0,32,0.577,205268.33
15000.0,8072.73,1372.34,579.0,50,0.63,88924.06
53264.83,24207.44,7319.16,550.0,49,0.592,336821.36
77938.56,51529.27,3446.23,725.0,63,0.705,398572.99
97558.93,49440.66,8035.13,667.0,51,0.589,594526.36
61852.37,35414.88,4078.85,746.0,69,0.639,431569.14
100715.39,57774.9,1754.55,684.0,24,0.591,699346.77
25497.46,14769.23,1667.0,570.0,30,0.645,159622.62
17415.44,9515.46,460.36,652.0,56,0.573,133540.45
58611.31,36725.27,7451.1,752.0,67,0.754,264296.34
69601.64,29974.07,2295.22,659.0,23,0.464,637238.7
59182.63,44973.63,9775.93,775.0,68,0.925,74308.38
15000.0,7717.79,1895.8,644.0,26,0.641,96590.13
57772.0,20408.98,580.2,738.0,59,0.363,687732.8
27388.26,15836.19,675.98,537.0,21,0.603,167246.65
76741.81,32409.83,3530.19,662.0,47,0.468,586402.13
69164.96,44943.4,6308.65,649.0,45,0.741,311735.7
36503.01,32175.24,5477.74,568.0,38,1.032,0.0
47153.33,20370.91,3681.15,769.0,29,0.51,493425.6
33519.66,20106.97,4724.2,629.0,30,0.741,152796.56
58433.02,16751.24,2629.87,621.0,67,0.332,761267.75
83878.56,51844.14,5460.36,784.0,30,0.683,483740.74
35356.85,14748.86,1826.41,693.0,69,0.469,334694.31
72601.16,33126.08,9047.68,742.0,44,0.581,517479.52
46743.56,17987.25,2557.66,544.0,45,0.44,420250.77
40178.18,26510.47,5959.83,616.0,35,0.808,144911.58
57324.24,40189.78,4980.18,847.0,54,0.788,266449.24
34118.94,18885.1,976.73,748.0,33,0.582,276694.42
46158.77,19402.19,4194.25,594.0,38,0.511,333817.43
30053.05,23694.68,1839.51,698.0,27,0.85,71342.83
109118.13,47732.47,11440.33,600.0,31,0.542,836314.88
60881.59,13740.68,7519.32,792.0,45,0.349,720767.18
42506.86,26301.48,4896.99,498.0,46,0.734,191987.58
65349.5,25112.75,4774.31,702.0,64,0.457,684094.32
57191.8,39936.54,2934.9,701.0,28,0.75,272631.51
